id,query,syntax,semantic,results,correctness level,normalized value,,,,
189,"SELECT * FROM Track, Writes, Artist WHERE Track.title = 'Californication' AND Track.track_id = Writes.track_id AND Writes.artist_id = Artist.artist_id",1,0,0,2,0.142857,,,,
160,"SELECT * FROM Track, Writes, Artist WHERE Track.title = Californication AND Track,track_id = Writes.track_id AND Writes.artist_id = Artist.artist_id",0,0,0,1,0,0,,"ERROR:  syntax error at or near ""WHERE"" LINE 1: ...rites", Artist WHERE Track.title='Californication' WHERE Trac...                                                              ^ 
268,"SELECT * FROM Track, Writes, Artist WHERE Track.track_id = Writes.track_id AND Writes.artist_id = Artist.artist_id AND Track.track_title = 'Californication';",1,1,1,8,1,,,,
105,"SELECT * FROM Track, Writes, Artist WHERE Track.track_id = Writes.track_id AND Writes.artist_id = Artist.artist_id AND Track.track_title = 'Californication';",1,1,1,8,1,,,,
55,"SELECT * FROM Track, Writes, Artist WHERE Track.track_id = Writes.track_id AND Writes.artist_id = Artist.artist_id AND Track.track_title = 'Californication';",1,1,1,8,1,,,,
347,"SELECT * FROM Track, Writes, Artist WHERE Track.track_id=Writes.track_id AND Writes.artist_id=Artist.artist_id AND Track.track_title='Californication';",1,1,1,8,1,,,,
205,"SELECT * FROM Track, Writes, Artist WHERE Track.track_title = 'Californication' AND Track.track_id = Writes.track_id AND Artist.artist_id = Writes.artist_id;",1,1,1,8,1,,,,
63,"SELECT * FROM Track, Writes, Artist WHERE Track.track_title = 'Californication' AND Track.track_id = Writes.track_id AND Writes.artist_id = Artist.artist_id;",1,1,1,8,1,,,,
229,"SELECT * FROM Track, Writes, Artist WHERE Track.track_title = 'Californication' AND Track.track_id = Writes.track_id AND Writes.artist_id = Artist.artist_id;",1,1,1,8,1,,,,
197,"SELECT * FROM Track, Writes, Artist WHERE Track.track_title = 'Californication' AND Track.track_id = Writes.track_id AND Writes.artist_id = Artist.artist_id;",1,1,1,8,1,,,,
200,"SELECT * FROM Track, Writes, Artist WHERE Track.track_title = 'Californication' AND Track.track_id = Writes.track_id AND Writes.artist_id = Artist.artist_id;",1,1,1,8,1,,,,
289,"SELECT * FROM Track, Writes, Artist WHERE Track.track_title = 'Californication' AND Track.track_id = Writes.track_id AND Writes.artist_id = Artist.artist_id;",1,1,1,8,1,,,,
293,"SELECT * FROM Track, Writes, Artist WHERE Track.track_title = 'Californication' AND Track.track_id = Writes.track_id AND Writes.artist_id = Artist.artist_id;",1,1,1,8,1,,,,
321,"SELECT * FROM Track, Writes, Artist WHERE Track.track_title = 'Californication' AND Track.track_id = Writes.track_id AND Writes.artist_id = Artist.artist_id;",1,1,1,8,1,,,,
4,"SELECT * FROM Track, Writes, Artist WHERE Track.track_title = 'Californication' AND Track.track_id = Writes.track_id AND Writes.artist_id = Artist.artist_id;",1,1,1,8,1,,,,
67,"SELECT * FROM Track, Writes, Artist WHERE Track.track_title = 'Californication' AND Track.track_id = Writes.track_id AND Writes.artist_id = Artist.artist_id;",1,1,1,8,1,,,,
82,"SELECT * FROM Track, Writes, Artist WHERE Track.track_title = 'Californication' AND Track.track_id = Writes.track_id AND Writes.artist_id = Artist.artist_id;",1,1,1,8,1,,,,
88,"SELECT * FROM Track, Writes, Artist WHERE Track.track_title = 'Californication' AND Track.track_id = Writes.track_id AND Writes.artist_id = Artist.artist_id;",1,1,1,8,1,,,,
320,"SELECT * FROM Track, Writes, Artist WHERE Track.track_title = 'Californication' AND Track.track_id =Writes.track_id AND Writes.artist_id = Artist.artist_id;",1,1,1,8,1,,,,
78,"SELECT * FROM Track, Writes, Artist WHERE Track.track_title=Californication"" AND Track.track_id=Writes.track_id AND Writes.artist_id=Artist.artist_id;""",1,0,0,2,0.142857,,,,
168,"SELECT * FROM Track, Writes, Artist WHERE Track.track_title='Californication' AND Track.track_id=Writes.track_id AND Writes.artist_id = Artist.artist_id;",1,1,1,8,1,,,,
93,"SELECT * FROM Track, Writes, Artist WHERE Track.track_title='Californication' AND Track.track_id=Writes.track_id AND Writes.artist_id=Artist.artist_id;",1,1,1,8,1,,,,
111,"SELECT * FROM Track, Writes, Artist WHERE Track.track_title='Californication' AND Track.track_id=Writes.track_id AND Writes.artist_id=Artist.artist_id;",1,1,1,8,1,,,,
171,"SELECT * FROM Track, Writes, Artist WHERE Track.track_title='Californication' AND Track.track_id=Writes.track_id AND Writes.artist_id=Artist.artist_id;",1,1,1,8,1,,,,
215,"SELECT * FROM Track, Writes, Artist WHERE Track.track_title='Californication' AND Track.track_id=Writes.track_id AND Writes.artist_id=Artist.artist_id;",1,1,1,8,1,,,,
262,"SELECT * FROM Track, Writes, Artist WHERE Track.track_title='Californication' AND Track.track_id=Writes.track_id AND Writes.artist_id=Artist.artist_id;",1,1,1,8,1,,,,
305,"SELECT * FROM Track, Writes, Artist WHERE Track.track_title='Californication' AND Track.track_id=Writes.track_id AND Writes.artist_id=Artist.artist_id;",1,1,1,8,1,,,,
73,"SELECT * FROM Track, Writes, Artist WHERE Track.track_title='Californication' AND Track.track_id=Writes.track_id AND Writes.artist_id=Artist.artist_id;",1,1,1,8,1,,,,
45,"SELECT * FROM Track, Writes, Artist WHERE Track.track_title='Californication' AND Writes.artist_id=Artist.artist_id AND Track.track_id=Writes.track_id;",1,1,1,8,1,,,,
22,"SELECT * FROM Track, Writes, Artist WHERE Track_title = 'Californication' AND Track.track_id = Writes.track_id AND Writes.artist_id = Artist.artist_id;",1,1,1,8,1,,,,
85,"SELECT * FROM Track, Writes, Artist WHERE Track_title='Californication' AND (Track.track_id=Writes.track_id AND Writes.artist_id=Artist.artist_id);",1,1,1,8,1,,,,
190,"SELECT * FROM Track, Writes, Artist WHERE Track_title='Californication' AND Track.track_id=Writes.track_id AND Writes.artist_id=Artist.artist_id;",1,1,1,8,1,,,,
278,"SELECT * FROM Track, Writes, Artist WHERE Writes.artist_id = Artist.artis_id AND Track.track_id = Writes.track_id AND Track.Title = 'Californication';",1,0,0,2,0.142857,,,,
42,"SELECT * FROM Track, Writes, Artist WHERE Writes.artist_id = Artist.artist_id AND Track.-track_id = Writes.track_id AND Track.title = 'Californication';",0,0,0,1,0,,,,
308,"SELECT * FROM Track, Writes, Artist WHERE Writes.artist_id = Artist.artist_id AND Track.track_id = Writes.track_id AND Track.title = 'Californication'",1,0,0,2,0.142857,,,,
344,"SELECT * FROM Track, Writes, Artist WHERE Writes.artist_id = Artist.artist_id AND Track.track_id = Writes.track_id AND Track.track_title = 'Californi cation';",1,0,0,2,0.142857,,,,
28,"SELECT * FROM Track, Writes, Artist WHERE Writes.artist_id = Artist.artist_id AND Track.track_id = Writes.track_id AND Track.track_title = 'Californication'",1,1,1,8,1,,,,
307,"SELECT * FROM Track, Writes, Artist WHERE Writes.artist_id = Artist.artist_id AND Track.track_id = Writes.track_id AND Track.track_title = 'Californication';",1,1,1,8,1,,,,
130,"SELECT * FROM Track, Writes, Artist WHERE Writes.artist_id = Artist.artist_id AND Track.track_id = Writes.track_id AND Track.track_title = 'Californication';",1,1,1,8,1,,,,
156,"SELECT * FROM Track, Writes, Artist WHERE Writes.artist_id = Artist.artist_id AND Track.track_id = Writes.track_id AND Track.track_title = 'Californication';",1,1,1,8,1,,,,
158,"SELECT * FROM Track, Writes, Artist WHERE Writes.artist_id = Artist.artist_id AND Track.track_id = Writes.track_id AND Track.track_title = 'Californication';",1,1,1,8,1,,,,
187,"SELECT * FROM Track, Writes, Artist WHERE Writes.artist_id = Artist.artist_id AND Track.track_id = Writes.track_id AND Track.track_title = 'Californication';",1,1,1,8,1,,,,
207,"SELECT * FROM Track, Writes, Artist WHERE Writes.artist_id = Artist.artist_id AND Track.track_id = Writes.track_id AND Track.track_title = 'Californication';",1,1,1,8,1,,,,
259,"SELECT * FROM Track, Writes, Artist WHERE Writes.artist_id = Artist.artist_id AND Track.track_id = Writes.track_id AND Track.track_title = 'Californication';",1,1,1,8,1,,,,
26,"SELECT * FROM Track, Writes, Artist WHERE Writes.artist_id = Artist.artist_id AND Track.track_id = Writes.track_id AND Track.track_title = 'Californication'; ",1,1,1,8,1,,,,
337,"SELECT * FROM Track, Writes, Artist WHERE Writes.artist_id = Artist.artist_id AND Track.track_id = Writes.track_id AND Track.track_title = 'Californication'; ",1,1,1,8,1,,,,
340,"SELECT * FROM Track, Writes, Artist WHERE Writes.artist_id = Artist.artist_id AND Track.track_id = Writes.track_id AND Track.track_title = 'Californication'; -- In the sample databases it is not Track.title but Track.track_title",1,1,1,8,1,,,,
151,"SELECT * FROM Track, Writes, Artist WHERE Writes.artist_id = Artist.artist_id AND Track.track_id = Writes.track_id AND Track.track_title LIKE 'Californication';",1,1,1,8,1,,,,
128,"SELECT * FROM Track, Writes, Artist WHERE Writes.artist_id = Artist.artist_id AND Track.track_id=Writes.track_id AND Track.track_title='Californication';",1,1,1,8,1,,,,
194,"SELECT * FROM Track, Writes, Artist WHERE Writes.artist_id = Artist.artist_id AND Track.track_id=Writes.track_id AND Track.track_title='Californication';",1,1,1,8,1,,,,
2,"SELECT * FROM Track, Writes, Artist WHERE Writes.artist_id = Artist.artist_id AND Track.track_id=Writes.track_id AND Track.track_title='Californication';",1,1,1,8,1,,,,
329,"SELECT * FROM Track, Writes, Artist WHERE Writes.artist_id = Artist.artist_id AND Track.track_id=Writes.track_id AND Track.track_title='Californication';",1,1,1,8,1,,,,
11,"SELECT * FROM Track, Writes, Artist WHERE Writes.artist_id = Artist.artist_id AND Writes.track_id = Track.track_id AND Track.track_title = 'Californication';",1,1,1,8,1,,,,
182,"SELECT * FROM Track, Writes, Artist WHERE Writes.artist_id = Artist.artist_id AND Writes.track_id = Track.track_id AND Track.track_title = 'Californication';",1,1,1,8,1,,,,
184,"SELECT * FROM Track, Writes, Artist WHERE Writes.artist_id = Artist.artist_id AND Writes.track_id = Track.track_id AND Track.track_title = 'Californication';",1,1,1,8,1,,,,
87,"SELECT * FROM Track, Writes, Artist WHERE Writes.artist_id = Artist.artist_id AND Writes.track_id = Track.track_id AND Track.track_title = 'Californication';",1,1,1,8,1,,,,
292,"SELECT * FROM Track, Writes, Artist WHERE Writes.artist_id = Artist.artist_id WHERE Track.track_id=Writes.track_id WHERE Track.title='Californication'",0,0,0,1,0,,,,
138,"SELECT * FROM Track, Writes, Artist WHERE Writes.artist_id AND Track.track_id=Writes.track_id AND Track.track_title = 'Californication';",1,0,0,2,0.142857,,,,
264,"SELECT * FROM Track, Writes, Artist WHERE Writes.artist_id=Artist.artist_id AND Track.track_id = Writes.track_id AND Track.track_title = 'Californication';",1,1,1,8,1,,,,
125,"SELECT * FROM Track, Writes, Artist WHERE Writes.artist_id=Artist.artist_id AND Track.track_id=Writes.track_id AND Track.title='Californication'",1,0,0,2,0.142857,,,,
224,"SELECT * FROM Track, Writes, Artist WHERE Writes.artist_id=Artist.artist_id AND Track.track_id=Writes.track_id AND Track.title='Californication';",1,0,0,2,0.142857,,,,
172,"SELECT * FROM Track, Writes, Artist WHERE Writes.artist_id=Artist.artist_id AND Track.track_id=Writes.track_id AND Track.title='Californication';",1,0,0,2,0.142857,,,,
35,"SELECT * FROM Track, Writes, Artist WHERE Writes.artist_id=Artist.artist_id AND Track.track_id=Writes.track_id AND Track.title='Californication';",1,0,0,2,0.142857,,,,
91,"SELECT * FROM Track, Writes, Artist WHERE Writes.artist_id=Artist.artist_id AND Track.track_id=Writes.track_id AND Track.title='Californication;",0,0,0,1,0,,,,
209,"SELECT * FROM Track, Writes, Artist WHERE Writes.artist_id=Artist.artist_id AND Track.track_id=Writes.track_id AND Track.track_title = Californication"";""",1,0,0,2,0.142857,,,,
96,"SELECT * FROM Track, Writes, Artist WHERE Writes.artist_id=Artist.artist_id AND Track.track_id=Writes.track_id AND Track.track_title ='Californication'; ",1,1,1,8,1,,,,
300,"SELECT * FROM Track, Writes, Artist WHERE Writes.artist_id=Artist.artist_id AND Track.track_id=Writes.track_id AND Track.track_title='Californication'",1,1,1,8,1,,,,
83,"SELECT * FROM Track, Writes, Artist WHERE Writes.artist_id=Artist.artist_id AND Track.track_id=Writes.track_id AND Track.track_title='Californication';",1,1,1,8,1,,,,
299,"SELECT * FROM Track, Writes, Artist WHERE Writes.artist_id=Artist.artist_id AND Track.track_id=Writes.track_id AND Track.track_title='Californication';",1,1,1,8,1,,,,
275,"SELECT * FROM Track, Writes, Artist WHERE Writes.artist_id=Artist.artist_id AND Track.track_id=Writes.track_id AND Track.track_title='Californication';",1,1,1,8,1,,,,
257,"SELECT * FROM Track, Writes, Artist WHERE Writes.artist_id=Artist.artist_id AND Track.track_id=Writes.track_id AND Track.track_title='Californication';",1,1,1,8,1,,,,
213,"SELECT * FROM Track, Writes, Artist WHERE Writes.artist_id=Artist.artist_id AND Track.track_id=Writes.track_id AND Track.track_title='Californication';",1,1,1,8,1,,,,
191,"SELECT * FROM Track, Writes, Artist WHERE Writes.artist_id=Artist.artist_id AND Track.track_id=Writes.track_id AND Track.track_title='Californication';",1,1,1,8,1,,,,
181,"SELECT * FROM Track, Writes, Artist WHERE Writes.artist_id=Artist.artist_id AND Track.track_id=Writes.track_id AND Track.track_title='Californication';",1,1,1,8,1,,,,
117,"SELECT * FROM Track, Writes, Artist WHERE Writes.artist_id=Artist.artist_id AND Track.track_id=Writes.track_id AND Track.track_title='Californication';",1,1,1,8,1,,,,
104,"SELECT * FROM Track, Writes, Artist WHERE Writes.artist_id=Artist.artist_id AND Track.track_id=Writes.track_id AND Track.track_title='Californication';",1,1,1,8,1,,,,
127,"SELECT * FROM Track, Writes, Artist WHERE Writes.artist_id=Artist.artist_id AND Track.track_id=Writes.track_id AND Track.track_title='Californication';",1,1,1,8,1,,,,
179,"SELECT * FROM Track, Writes, Artist WHERE Writes.artist_id=Artist.artist_id AND Track.track_id=Writes.track_id AND Track.track_title='Californication';",1,1,1,8,1,,,,
234,"SELECT * FROM Track, Writes, Artist WHERE Writes.artist_id=Artist.artist_id AND Track.track_id=Writes.track_id AND Track.track_title='Californication';",1,1,1,8,1,,,,
240,"SELECT * FROM Track, Writes, Artist WHERE Writes.artist_id=Artist.artist_id AND Track.track_id=Writes.track_id AND Track.track_title='Californication';",1,1,1,8,1,,,,
242,"SELECT * FROM Track, Writes, Artist WHERE Writes.artist_id=Artist.artist_id AND Track.track_id=Writes.track_id AND Track.track_title='Californication';",1,1,1,8,1,,,,
311,"SELECT * FROM Track, Writes, Artist WHERE Writes.artist_id=Artist.artist_id AND Track.track_id=Writes.track_id AND Track.track_title='Californication';",1,1,1,8,1,,,,
333,"SELECT * FROM Track, Writes, Artist WHERE Writes.artist_id=Artist.artist_id AND Track.track_id=Writes.track_id AND Track.track_title='Californication';",1,1,1,8,1,,,,
34,"SELECT * FROM Track, Writes, Artist WHERE Writes.artist_id=Artist.artist_id AND Track.track_id=Writes.track_id AND Track.track_title='Californication';",1,1,1,8,1,,,,
346,"SELECT * FROM Track, Writes, Artist WHERE Writes.artist_id=Artist.artist_id AND Track.track_id=Writes.track_id AND Track.track_title='Californication';",1,1,1,8,1,,,,
351,"SELECT * FROM Track, Writes, Artist WHERE Writes.artist_id=Artist.artist_id AND Track.track_id=Writes.track_id AND Track.track_title='Californication';",1,1,1,8,1,,,,
76,"SELECT * FROM Track, Writes, Artist WHERE Writes.artist_id=Artist.artist_id AND Track.track_id=Writes.track_id AND Track.track_title='Californication';",1,1,1,8,1,,,,
258,"SELECT * FROM Track, Writes, Artist WHERE Writes.artist_id=Artist.artist_id AND Track.track_id=Writes.track_id AND Track.track_title='Californication'; ",1,1,1,8,1,,,,
222,"SELECT * FROM Track, Writes, Artist WHERE Writes.artist_id=Artist.artist_id AND Track.track_id=Writes.track_id AND Track_title=Californication"";""",1,0,0,2,0.142857,,,,
132,"SELECT * FROM Track, Writes, Artist WHERE Writes.artist_id=Artist.artist_id AND Track.track_id=Writes.track_id AND track.track_title='Californication';",1,1,1,8,1,,,,
43,"SELECT * FROM Track, Writes, Artist WHERE Writes.artist_id=Artist.artist_id AND Track.track_id=Writes.track_id AND track_title='Californication';",1,1,1,8,1,,,,
44,"SELECT * FROM Track, Writes, Artist WHERE Writes.artist_id=Artist.artist_id AND Track.track_id=Writes.track_id AND track_title='Californication';",1,1,1,8,1,,,,
265,"SELECT * FROM Track, Writes, Artist WHERE Writes.artist_id=Artist.artist_id AND Track.track_id=Writes.track_id AND track_title='Californication';",1,1,1,8,1,,,,
193,"SELECT * FROM Track, Writes, Artist WHERE Writes.artist_id=Artist.artist_id AND Track.track_id=Writes.track_id AND track_title='Californication';",1,1,1,8,1,,,,
244,"SELECT * FROM Track, Writes, Artist WHERE Writes.artist_id=Artist.artist_id AND Track.track_id=Writes.track_id AND track_title='Californication';",1,1,1,8,1,,,,
99,"SELECT * FROM Track, Writes, Artist WHERE Writes.artist_id=Artist.artist_id AND Track.track_id=Writes.track_id AND track_title='Californication';",1,1,1,8,1,,,,
336,"SELECT * FROM Track, Writes, Artist WHERE Writes.artist_id=Artist.artist_id AND Track.track_id=Writes.track_id and Track.track_title='Californication';",1,1,1,8,1,,,,
167,"SELECT * FROM Track, Writes, Artist WHERE Writes.artist_id=Artist.artist_id and Track.track_id=Writes.track_id and Track.track_title='Californication';",1,1,1,8,1,,,,
126,"SELECT * FROM Track, Writes, Artist WHERE track.track_title = 'Californication' AND Track.track_id = Writes.track_id AND Writes.artist_id = Artist.artist_id;",1,1,1,8,1,,,,
131,"SELECT * FROM Track, Writes, Artist WHERE track_title = 'Californication' AND Track.track_id = Writes.track_id AND Writes.artist_id = Artist.artist_id;",1,1,1,8,1,,,,
314,"SELECT * FROM Track, Writes, Artist WHERE track_title ='Californication' AND Track.track_id = Writes.track_id AND Writes.artist_id=Artist.artist_id;",1,1,1,8,1,,,,
141,"SELECT * FROM Track, Writes, Artist WHERE track_title='Californication' AND Track.track_id=Writes.track_id AND Writes.artist_id=Artist.artist_id;",1,1,1,8,1,,,,
183,"SELECT * FROM Track, Writes, Artist WHERE track_title='Californication' AND Writes.artist_id=Artist.artist_id AND Track.track_id=Writes.track_id;",1,1,1,8,1,,,,
282,"SELECT * FROM Track, Writes, Artist WHERE writes.artist_id=artist.artist_id AND track.track_id=writes.track_id AND track.track_title='Californication';",1,1,1,8,1,,,,
79,"SELECT * FROM Track, Writes, Artist Where Writes.artist_id=Artist.artist_id AND Track.track_id=Writes.track_id AND Track.track_title='Californication';",1,1,1,8,1,,,,
137,"SELECT * FROM Track, writes, artist WHERE writes.artist_id=artist.artist_id AND track.track_id=writes.track_id AND Track.track_title='Californication';",1,1,1,8,1,,,,
81,"SELECT * FROM Track,Writes,Artist WHERE Track.track_title='Californication' AND Track.track_id=Writes.track_id AND Writes.artist_id=Artist.artist_id;",1,1,1,8,1,,,,
84,"SELECT * FROM Track,Writes,Artist WHERE Writes.artist_id=Artist.artist_id AND Track.track_id=Writes.track_id AND Track.track_title='Californication';",1,1,1,8,1,,,,
284,"SELECT * FROM Track,Writes,Artist WHERE Writes.artist_id=Artist.artist_id AND Track.track_id=Writes.track_id AND Track_title='Californication';",1,1,1,8,1,,,,
177,"SELECT * FROM Track,Writes,Artist WHERE Writes.artist_id=Artist.artist_id AND Track.track_id=Writes.track_id AND track_title='Californication';",1,1,1,8,1,,,,
318,"SELECT * FROM Track,Writes,Artist WHERE writes.artist_id=Artist.artist_id AND Track.track_id=Writes.track_id AND Track.track_title='Californication';",1,1,1,8,1,,,,
1,"SELECT * FROM Track,Writes,Artist WHERE( Writes.artist_id=Artist.artist_id AND Track.track_id=Writes.track_id AND Track.track_title='Californication');",1,1,1,8,1,,,,
107,"SELECT * FROM Tracks, Writes, Artist WHERE Writes.artist-id = Artists_id AND Track_track_id = Writes.track_id AND Track_title = 'Carlifornication';",1,0,0,2,0.142857,,,,
20,"SELECT * FROM Writes, Artist, Track WHERE Track.track_id = Writes.track_id AND track_title = 'Californication' AND Writes.artist_id = Artist.artist_id;",1,1,1,8,1,,,,
